latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
40.6375,-74.22231,300.6,0.6,0.71,2019-08-10,05:48,N,nominal,1.0NRT,289.2,2.4,N
40.6338,-74.22287,302.7,0.6,0.7,2019-08-10,05:48,N,nominal,1.0NRT,289.4,1.9,N
40.47887,-74.32373,307.1,0.61,0.71,2019-08-10,05:48,N,nominal,1.0NRT,288,0.8,N
39.58834,-75.64015,299.4,0.7,0.75,2019-08-10,05:48,N,nominal,1.0NRT,288.3,2.1,N
18.9953,-70.37515,298.9,0.44,0.46,2019-08-10,05:54,N,nominal,1.0NRT,273.2,1.1,N
18.92733,-70.35081,295,0.44,0.46,2019-08-10,05:54,N,nominal,1.0NRT,261.8,0.6,N
18.92471,-70.35332,297.4,0.44,0.46,2019-08-10,05:54,N,nominal,1.0NRT,262,0.8,N
40.92495,-87.34449,301.7,0.45,0.39,2019-08-10,07:24,N,nominal,1.0NRT,285,1.7,N
40.40638,-83.96709,295.7,0.38,0.36,2019-08-10,07:24,N,nominal,1.0NRT,285.6,0.3,N
40.73328,-86.43222,310.2,0.42,0.38,2019-08-10,07:24,N,nominal,1.0NRT,288.1,1,N
39.07786,-79.69344,295.4,0.48,0.4,2019-08-10,07:24,N,nominal,1.0NRT,282.6,0.7,N
39.36536,-81.52677,299,0.41,0.37,2019-08-10,07:24,N,nominal,1.0NRT,288.9,1.3,N
40.9137,-82.38075,321.2,0.39,0.36,2019-08-10,07:24,N,nominal,1.0NRT,285.1,2.3,N
40.75199,-81.43983,310.4,0.4,0.37,2019-08-10,07:24,N,nominal,1.0NRT,282.8,1.7,N
40.39566,-79.85831,299.7,0.45,0.39,2019-08-10,07:24,N,nominal,1.0NRT,283.1,1,N
45.28039,-66.01112,301,0.47,0.64,2019-08-10,07:24,N,nominal,1.0NRT,286.3,1.6,N
45.27716,-66.01237,303.7,0.47,0.64,2019-08-10,07:24,N,nominal,1.0NRT,285.4,2.2,N
46.57241,-80.79956,300.5,0.39,0.36,2019-08-10,07:24,N,nominal,1.0NRT,279.3,0.8,N
46.48682,-81.02965,301.2,0.38,0.36,2019-08-10,07:24,N,nominal,1.0NRT,283.4,0.3,N
46.52494,-84.37008,306.8,0.42,0.37,2019-08-10,07:24,N,nominal,1.0NRT,286.7,1.2,N
46.52223,-84.37644,315,0.42,0.37,2019-08-10,07:24,N,nominal,1.0NRT,288,1.8,N
46.52153,-84.37103,305.4,0.42,0.37,2019-08-10,07:24,N,nominal,1.0NRT,285.8,1.2,N
46.51881,-84.37739,309.7,0.42,0.37,2019-08-10,07:24,N,nominal,1.0NRT,286,1.5,N
46.5175,-84.39455,328.8,0.42,0.37,2019-08-10,07:24,N,nominal,1.0NRT,285.6,2.5,N
46.51408,-84.3955,329.8,0.42,0.37,2019-08-10,07:24,N,nominal,1.0NRT,285.2,4,N
46.73114,-92.07718,308.9,0.56,0.51,2019-08-10,07:24,N,nominal,1.0NRT,284.9,2.3,N
