"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-111.22","56.65","FORT MCMURRAY A","3062697","2016-05-01 00:00","2016","05","01","00:00","8.8","","-2.8","","44","","23","","5","","16.1","","97.59","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2016-05-01 01:00","2016","05","01","01:00","3.8","","-3.4","","60","","21","","9","","16.1","","97.59","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2016-05-01 02:00","2016","05","01","02:00","3.9","","-3.7","","58","","18","","8","","16.1","","97.60","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2016-05-01 03:00","2016","05","01","03:00","3.3","","-4.7","","56","","20","","5","","16.1","","97.62","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2016-05-01 04:00","2016","05","01","04:00","3.9","","-5.1","","52","","19","","5","","16.1","","97.62","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2016-05-01 05:00","2016","05","01","05:00","3.6","","-6.0","","50","","20","","8","","16.1","","97.60","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2016-05-01 06:00","2016","05","01","06:00","2.2","","-4.0","","64","","","","0","","16.1","","97.60","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2016-05-01 07:00","2016","05","01","07:00","4.0","","-3.6","","58","","3","","4","","16.1","","97.59","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2016-05-01 08:00","2016","05","01","08:00","7.4","","-5.8","","39","","","","0","","16.1","","97.58","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2016-05-01 09:00","2016","05","01","09:00","11.1","","-3.9","","35","","","M","5","","16.1","","97.55","","","","","","NA"
