"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-07-01 00:00","2016","07","01","00:00","18.4","","10.8","","61","","10","","9","","","","97.14","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-07-01 01:00","2016","07","01","01:00","16.9","","10.1","","64","","10","","8","","","","97.13","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-07-01 02:00","2016","07","01","02:00","15.5","","9.8","","69","","10","","7","","","","97.12","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-07-01 03:00","2016","07","01","03:00","14.6","","9.7","","72","","11","","10","","","","97.12","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-07-01 04:00","2016","07","01","04:00","14.5","","9.8","","73","","10","","9","","","","97.14","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-07-01 05:00","2016","07","01","05:00","16.0","","9.2","","64","","11","","13","","","","97.14","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-07-01 06:00","2016","07","01","06:00","17.4","","9.1","","58","","11","","12","","","","97.13","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-07-01 07:00","2016","07","01","07:00","20.2","","9.8","","51","","13","","13","","","","97.14","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-07-01 08:00","2016","07","01","08:00","22.8","","10.6","","46","","14","","14","","","","97.12","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-07-01 09:00","2016","07","01","09:00","24.3","","9.5","","39","","14","","25","","","","97.11","","25","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-07-01 10:00","2016","07","01","10:00","24.9","","7.4","","33","","15","","23","","","","97.09","","25","","","","NA"
